playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,decision,cardsLeft,count,result
4,9,9,0,0,4,3,8,8,0,22,23,0,212,-2,Loss
10,6,6,0,0,6,10,6,0,0,22,22,0,206,0,Loss
6,4,10,0,0,2,1,2,8,2,20,22,0,407,3,Win
10,6,10,0,0,10,5,10,0,0,26,25,0,401,1,Loss
9,2,6,0,0,7,10,0,0,0,17,17,0,396,2,Push
4,7,1,0,0,5,8,10,0,0,12,23,0,390,2,Win
3,9,10,0,0,4,9,5,0,0,22,18,0,384,4,Loss
2,11,6,0,0,7,10,0,0,0,19,17,0,379,4,Win
10,5,10,0,0,10,7,0,0,0,25,17,0,374,2,Loss
2,4,5,0,0,9,10,0,0,0,11,19,0,369,4,Loss
8,10,5,0,0,6,4,6,3,0,23,19,0,362,8,Loss
9,10,10,0,0,9,10,0,0,0,29,19,0,357,5,Loss
1,9,10,0,0,9,10,0,0,0,20,19,0,352,2,Win
4,10,2,0,0,10,9,0,0,0,16,19,0,347,2,Loss
3,5,10,0,0,7,10,0,0,0,18,17,0,342,2,Win
3,7,8,0,0,10,10,0,0,0,18,20,0,337,1,Loss
2,10,10,0,0,1,2,9,10,0,22,22,0,330,-1,Loss
7,8,9,0,0,10,6,4,0,0,24,20,0,324,0,Loss
10,8,3,0,0,5,7,5,0,0,21,17,0,318,2,Win
3,8,10,0,0,4,6,9,0,0,21,19,0,312,4,Win
4,2,7,0,0,9,10,0,0,0,13,19,0,307,5,Loss
8,8,10,0,0,4,10,4,0,0,26,18,0,301,5,Loss
10,3,10,0,0,10,4,6,0,0,23,20,0,295,5,Loss
7,2,11,0,0,6,10,1,0,0,20,17,0,289,4,Win
6,6,9,0,0,11,10,0,0,0,21,21,0,284,4,Push
10,5,10,0,0,10,8,0,0,0,25,18,0,279,2,Loss
3,9,3,0,0,10,6,7,0,0,15,23,0,273,4,Win
