playerCard1,playerCard2,playerCard3,playerCard4,playerCard5,dealerCard1,dealerCard2,dealerCard3,dealerCard4,dealerCard5,playerHandSum,dealerHandSum,cardsLeft,result
4,9,10,0,0,10,4,3,0,0,23,17,259,Loss
10,10,10,0,0,10,6,4,0,0,30,20,253,Loss
6,4,10,0,0,9,5,9,0,0,20,23,247,Win
2,3,2,5,0,8,10,0,0,0,12,18,241,Loss
8,8,2,0,0,7,11,0,0,0,18,18,236,Push
2,4,11,0,0,2,7,3,7,0,17,19,229,Loss
10,7,7,0,0,6,5,2,10,0,24,23,222,Loss
10,7,5,0,0,9,3,6,0,0,22,18,216,Loss
7,4,7,0,0,5,5,4,10,0,18,24,209,Win
10,10,4,0,0,6,7,10,0,0,24,23,203,Loss
10,4,7,0,0,10,5,6,0,0,21,21,410,Push
4,1,10,0,0,10,10,0,0,0,15,20,405,Loss
5,10,1,0,0,11,10,0,0,0,16,21,400,Loss
3,5,10,0,0,11,4,5,0,0,18,20,394,Loss
3,10,10,0,0,10,10,0,0,0,23,20,389,Loss
10,3,10,0,0,6,2,10,0,0,23,18,383,Loss
1,5,6,0,0,8,11,0,0,0,12,19,378,Loss
5,10,5,0,0,10,2,9,0,0,20,21,372,Loss
10,10,8,0,0,4,2,6,10,0,28,22,365,Loss
9,7,2,0,0,6,10,5,0,0,18,21,359,Loss
10,4,6,0,0,5,7,10,0,0,20,22,353,Win
3,10,8,0,0,10,3,10,0,0,21,23,347,Win
2,3,6,10,0,2,10,3,6,0,21,21,339,Push
11,6,4,0,0,8,8,9,0,0,21,25,333,Win
3,5,5,0,0,10,10,0,0,0,13,20,328,Loss
1,3,10,0,0,11,10,0,0,0,14,21,323,Loss
10,1,6,0,0,6,6,10,0,0,17,22,317,Win
10,9,7,0,0,9,10,0,0,0,26,19,312,Loss
10,4,2,0,0,10,7,0,0,0,16,17,307,Loss
9,2,3,0,0,10,6,9,0,0,14,25,301,Win
5,1,7,0,0,10,3,1,7,0,13,21,294,Loss
10,5,10,0,0,3,6,10,0,0,25,19,288,Loss
10,1,10,0,0,9,6,6,0,0,21,21,282,Push
10,2,4,0,0,3,3,6,2,8,16,22,274,Win
8,1,4,0,0,3,4,11,0,0,13,18,268,Loss
4,9,5,0,0,8,7,10,0,0,18,25,262,Win
10,1,9,0,0,3,7,10,0,0,20,20,256,Push
10,10,10,0,0,10,4,2,9,0,30,25,249,Loss
6,5,6,0,0,7,7,1,8,0,17,23,242,Win
8,3,9,0,0,2,10,10,0,0,20,22,236,Win
10,4,3,0,0,10,7,0,0,0,17,17,231,Push
6,10,1,0,0,2,2,1,10,8,17,23,223,Win
10,10,4,0,0,2,5,8,4,0,24,19,216,Loss
6,9,8,0,0,5,7,10,0,0,23,22,210,Loss
1,10,3,0,0,10,4,3,0,0,14,17,204,Loss
10,1,8,0,0,10,5,10,0,0,19,25,410,Win
8,10,7,0,0,5,4,5,9,0,25,23,403,Loss
6,6,1,0,0,8,7,10,0,0,13,25,397,Win
10,10,7,0,0,8,10,0,0,0,27,18,392,Loss
10,10,3,0,0,2,9,10,0,0,23,21,386,Loss
10,4,10,0,0,9,3,5,0,0,24,17,380,Loss
1,10,8,0,0,7,3,2,10,0,19,22,373,Win
10,10,10,0,0,2,10,10,0,0,30,22,367,Loss
10,1,9,0,0,4,10,10,0,0,20,24,361,Win
5,10,3,0,0,1,5,10,10,0,18,26,354,Win
10,4,6,0,0,4,6,10,0,0,20,20,348,Push
10,10,9,0,0,10,4,10,0,0,29,24,342,Loss
4,7,10,0,0,1,3,10,3,0,21,17,335,Win
5,10,1,0,0,9,6,8,0,0,16,23,329,Win
8,10,10,0,0,2,3,7,7,0,28,19,322,Loss
2,4,10,0,0,11,7,0,0,0,16,18,317,Loss
4,6,5,0,0,5,4,10,0,0,15,19,311,Loss
10,10,2,0,0,10,6,5,0,0,22,21,305,Loss
9,1,3,0,0,2,8,3,10,0,13,23,298,Win
5,10,10,0,0,6,5,1,3,10,25,25,290,Loss
2,10,3,0,0,9,5,9,0,0,15,23,284,Win
6,10,10,0,0,10,6,10,0,0,26,26,278,Loss
3,10,1,0,0,7,11,0,0,0,14,18,273,Loss
